ID;Timestamp;Date;Hour;hw_True;meanTout;ThermostatTemp;TSen_day;TSen_night;TSatisf_day;TSatisf_night;TPref_day;TPref_night;Gender;Age;NatVent_night;UsesCoolingAlternatives;Hour_7_14h_True;Hour_14_21h_True;Hour_21_7h_True;ShadingDevices_No;ShadingDevices_WhenDirectSun;ShadingDevices_AllAfternoon;ShadingDevices_AllMorning;ShadingDevices_AllDay;NatVent_day_ToutCool;NatVent_day_Anytime;NatVent_day_No;hasAC_No;hasAC_DormOrLiving;hasAC_DormAndLiving;hasAC_AllRooms;HouseholdSize;is_31001;is_31002;is_31003;is_31004;is_31005;is_31006;is_31007;is_31008;is_31009;is_31010;is_31011;is_31012;is_31013;is_31014;is_31015;is_31016;isNot_pamplona;before_1980;between_1980_2006;after_2007;dwelling_OldTown;dwelling_Block;dwelling_Tower;dwelling_Detached;dwelling_Other;Rehab_No;Rehab_Yes;Income_below1500;Income_between_1500_3500;Income_above_3500;Occ_NormallyAtHome;Occ_NotAlwaysAtHome;SrfcArea_below90;Storey_UpperFloor;Storey_NotApartment;numOrient_1;numOrient_above2;LivRoom_SrfcAreaWindow_below2;LivRoom_SrfcAreaWindow_above2;Bedroom_SrfcAreaWindow_below2;Bedroom_SrfcAreaWindow_above2;AC_Installed_Yes;WouldYouInstallAC_Yes;hasCoolRoom;hasCoolingAlternatives;HeatSymptoms;SleepingProblems
398;15/07/2022 12:59;20220715;12;True;27.7;20;1;0;2;2;-1;-1;True;53;True;False;True;False;False;False;False;False;False;True;True;False;False;True;False;False;False;4;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;True;False;True;False;False;False;True;False;False;True;False;True;False;True;True;False;False;False;False;True;False;False
6;14/08/2021 21:45;20210814;21;True;26.2;25.39;3;1;-1;0;-1;-1;True;53;True;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;6;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;False;False;False;True;True;False;True;False;False;True;False;False;True;False
247;22/07/2021 17:56;20210722;17;False;27.5;26;2;3;-1;-3;-1;-1;True;61;True;False;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;6;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;True;False;False;False;True;True;True;False;False;True;True;False;False;True;False;True;False;True;True;False;False;True
378;15/07/2022 12:54;20220715;12;True;27.7;25.7;3;2;-2;-2;-1;-1;True;65;True;False;True;False;False;False;False;False;False;True;False;False;True;True;False;False;False;2;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;True;False;True;False;False;True;False;False;True;False;True;False;False;False;False;True;False
298;14/08/2021 20:45;20210814;20;True;26.2;27;2;1;2;2;-1;-1;False;36;True;False;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;2;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;False;True;True;True;False;True;False;False;True;False;True;True;False;False;True;True;False;False;False
345;15/07/2022 12:49;20220715;12;True;27.7;27.38;2;0;0;0;-1;-1;False;27;True;False;True;False;False;False;True;False;False;False;True;False;False;True;False;False;False;1;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;True;True;False;False;False;True;True;True;False;False;True;False;True;True;False;False;False;False;False;True;False
454;15/07/2022 16:25;20220715;16;True;27.7;24.1;1;0;1;-1;-1;0;True;57;True;False;False;True;False;False;True;False;False;False;False;True;False;False;False;False;True;4;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;False;True;False;True;False;True;True;False;False;False;False;False
230;22/07/2021 12:59;20210722;12;False;27.5;35;-1;-1;-1;-1;-1;-1;True;29;True;True;True;False;False;True;False;False;False;False;True;False;False;True;False;False;False;3;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;True;False;True;True;False;False;False;True;True;False;True;False;False;True;False;True;False;True
470;12/08/2022 14:53;20220812;14;True;29.2;28;3;3;-3;-3;-1;-1;True;51;False;True;False;True;False;False;False;False;False;True;False;True;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;True;False;False;True;False;True;False;False;False;False;True;True;False;True;False;False;False;False;True;True;True
552;17/07/2022 19:47;20220717;19;True;30;29;3;2;-3;-2;-1;-1;True;63;True;False;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;3;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;True;False;True;False;False;True;False;True;False;False;False;True;False;True;False;True;False;False;False;False;False;True
96;18/07/2022 11:04;20220718;11;True;30.9;29;3;3;-2;-2;-1;-1;False;63;False;True;True;False;False;False;True;False;False;False;True;False;False;True;False;False;False;4;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;True;False;False;True;True;False;False;False;False;False;True;False;True;True;False;False;True;True;False;True;False
16;14/08/2021 19:39;20210814;19;True;26.2;25.39;1;0;0;0;0;-1;True;35;False;False;False;True;False;True;False;False;False;False;True;False;False;True;False;False;False;1;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;True;False;False;True;False;True;False;True;False;False;True;False;True;False;True;False;False;True;False;False;False;False
421;16/07/2022 11:00;20220716;11;True;29.1;26.4;2;2;2;2;-1;-1;True;0;True;True;True;False;False;False;True;False;False;False;True;False;False;True;False;False;False;4;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;False;True;True;False;True;False;False;True;True;True;False;False
380;15/07/2022 13:13;20220715;13;True;27.7;25;2;2;2;2;0;0;True;63;True;True;True;False;False;False;False;False;False;True;False;False;True;True;False;False;False;2;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;False;True;False;True;False;True;False;False;True;True;False;False
